epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,1030.04,0.29547,0.22108,0.79795,0.96474,0.98286,0.97266,0.94599,0.29332,0.25777,0.79714,0.000307,0.000307,0.000307
142,1037.14,0.27494,0.21124,0.77743,0.96265,0.98305,0.98157,0.94703,0.29893,0.25565,0.79756,0.00030205,0.00030205,0.00030205
143,1044.1,0.27681,0.21784,0.78243,0.96589,0.98618,0.98136,0.94814,0.29339,0.24482,0.79547,0.0002971,0.0002971,0.0002971
144,1051.19,0.28935,0.22722,0.79822,0.96976,0.98764,0.98406,0.94947,0.29385,0.24537,0.79602,0.00029215,0.00029215,0.00029215
145,1058.34,0.28854,0.22927,0.78997,0.96681,0.9881,0.98655,0.95909,0.27825,0.24451,0.79572,0.0002872,0.0002872,0.0002872
146,1065.34,0.27585,0.21579,0.78593,0.96363,0.9881,0.98438,0.95381,0.28405,0.2528,0.79567,0.00028225,0.00028225,0.00028225
147,1072.34,0.28964,0.22538,0.7907,0.95777,0.9881,0.98391,0.95089,0.29597,0.24171,0.79753,0.0002773,0.0002773,0.0002773
148,1079.51,0.27268,0.21511,0.78391,0.95684,0.98687,0.98188,0.95171,0.28139,0.24413,0.79596,0.00027235,0.00027235,0.00027235
149,1086.51,0.27718,0.21433,0.78875,0.95737,0.99775,0.98411,0.9461,0.29153,0.24648,0.79656,0.0002674,0.0002674,0.0002674
150,1093.58,0.2745,0.21412,0.78326,0.95479,0.99693,0.98244,0.94763,0.27813,0.24443,0.79571,0.00026245,0.00026245,0.00026245
151,1100.6,0.26518,0.2099,0.79461,0.9597,0.99683,0.97991,0.94994,0.28528,0.24165,0.79617,0.0002575,0.0002575,0.0002575
152,1107.62,0.28922,0.22442,0.81096,0.96079,0.99955,0.97737,0.9459,0.28821,0.24522,0.79485,0.00025255,0.00025255,0.00025255
153,1114.85,0.26922,0.20715,0.78804,0.96022,1,0.97737,0.95923,0.28118,0.23429,0.79511,0.0002476,0.0002476,0.0002476
154,1122.44,0.26599,0.19872,0.7936,0.95941,0.99817,0.97991,0.9433,0.29762,0.24606,0.79723,0.00024265,0.00024265,0.00024265
155,1129.74,0.2617,0.20236,0.79165,0.95896,0.98972,0.97875,0.94908,0.28476,0.24116,0.79608,0.0002377,0.0002377,0.0002377
156,1137.49,0.26776,0.21219,0.78023,0.9606,0.98744,0.97845,0.9513,0.28595,0.24319,0.79514,0.00023275,0.00023275,0.00023275
157,1145.05,0.25404,0.19751,0.77829,0.96696,0.98608,0.98185,0.96,0.27984,0.23582,0.79364,0.0002278,0.0002278,0.0002278
158,1152.22,0.27157,0.21149,0.78332,0.96773,0.9852,0.98077,0.94682,0.29073,0.23723,0.7943,0.00022285,0.00022285,0.00022285
159,1159.23,0.266,0.21013,0.78437,0.96265,0.9857,0.97775,0.95109,0.2746,0.23591,0.79192,0.0002179,0.0002179,0.0002179
160,1167.71,0.25354,0.20086,0.78056,0.96349,0.9887,0.977,0.94508,0.28579,0.23761,0.79339,0.00021295,0.00021295,0.00021295
161,1176.31,0.2642,0.20747,0.78888,0.96381,0.9881,0.97592,0.94693,0.28833,0.23439,0.79362,0.000208,0.000208,0.000208
162,1184.25,0.27223,0.20933,0.78339,0.96334,0.98631,0.98057,0.95581,0.27878,0.2368,0.79394,0.00020305,0.00020305,0.00020305
163,1192.74,0.25483,0.19794,0.78021,0.96326,0.98706,0.98288,0.95509,0.27595,0.238,0.79302,0.0001981,0.0001981,0.0001981
164,1200.99,0.25693,0.19319,0.78707,0.96387,0.98755,0.98507,0.95547,0.28498,0.23807,0.7942,0.00019315,0.00019315,0.00019315
165,1209.1,0.26105,0.19727,0.77859,0.96427,0.9881,0.98621,0.9581,0.28173,0.23958,0.79425,0.0001882,0.0001882,0.0001882
166,1216.99,0.26342,0.20567,0.7883,0.96181,0.9881,0.9823,0.95017,0.28632,0.23803,0.79459,0.00018325,0.00018325,0.00018325
167,1225.01,0.25624,0.19777,0.78892,0.96118,0.9881,0.98094,0.94879,0.27997,0.23694,0.79193,0.0001783,0.0001783,0.0001783
168,1232.78,0.24449,0.19227,0.78535,0.9646,0.98607,0.9789,0.95171,0.27675,0.24086,0.79266,0.00017335,0.00017335,0.00017335
169,1240.6,0.25859,0.19987,0.78228,0.96652,0.98629,0.98073,0.94905,0.28786,0.23962,0.79275,0.0001684,0.0001684,0.0001684
170,1248.69,0.24731,0.19671,0.77777,0.96728,0.9881,0.97913,0.95103,0.28427,0.23229,0.7923,0.00016345,0.00016345,0.00016345
171,1256.44,0.25836,0.19834,0.79151,0.96784,0.98948,0.98063,0.95074,0.28767,0.23805,0.79276,0.0001585,0.0001585,0.0001585
172,1264.26,0.24791,0.19098,0.79333,0.96586,0.9881,0.97913,0.94824,0.28008,0.23208,0.79149,0.00015355,0.00015355,0.00015355
173,1271.91,0.25018,0.19086,0.78612,0.96618,0.9881,0.97772,0.95489,0.27057,0.22839,0.79202,0.0001486,0.0001486,0.0001486
174,1278.85,0.24412,0.18549,0.7845,0.96709,0.9881,0.97797,0.94954,0.28018,0.23387,0.79264,0.00014365,0.00014365,0.00014365
175,1285.7,0.25568,0.19233,0.7749,0.9662,0.9881,0.97699,0.95057,0.2737,0.23041,0.79204,0.0001387,0.0001387,0.0001387
176,1292.61,0.2466,0.19307,0.78514,0.9656,0.9881,0.97915,0.95525,0.2727,0.22792,0.79181,0.00013375,0.00013375,0.00013375
177,1299.53,0.24901,0.18896,0.78049,0.96385,0.9881,0.98173,0.96112,0.27693,0.23019,0.79183,0.0001288,0.0001288,0.0001288
178,1306.41,0.23751,0.1801,0.78417,0.96243,0.9881,0.98246,0.95226,0.28028,0.23381,0.79174,0.00012385,0.00012385,0.00012385
